route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
805-62,          2,805,"Anoka Traveler - Anoka - Coon Rapids - Northtown",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=805,,000000
824-62,          0,824,"Ltd Stop - Northtown - Monroe - University - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=824,,000000
825-62,          0,825,"Ltd Stop - Northtown - St. Anthony - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=825,,000000
831-62,          2,831,"Anoka Traveler - 117th Av - Polk - Northtown",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=831,,000000
850-62,          0,850,"Express - Riverdale P&R - Foley P&R - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=850,,000000
852-62,          0,852,"Express - Anoka - Coon Rapids - Northtown - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=852,,000000
854-62,          0,854,"Express - Paul Pkwy - Northdale - Northtown - Mpls",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=854,,000000
860-62,          0,860,"Express - Riverdale - Northtown - St Paul",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=860,,000000
887-62,         15,887,"Express - St Cloud Link",,3,http://www.metrotransit.org/schedules/webschedules.aspx?route=887,,000000
888-62,          0,888,"Northstar-Big Lk-Elk Rv-Anoka-Coon Rp-Mpls",,2,http://www.metrotransit.org/schedules/webschedules.aspx?route=888,,000000
901-62,          0,,METRO Blue Line,,0,http://www.metrotransit.org/schedules/webschedules.aspx?route=901,0055A5,FFFFFF
906-62,         10,,METRO Blue Line,,0,http://www.metrotransit.org/schedules/webschedules.aspx?route=906,0055A5,FFFFFF
